scientificName,Taxon,phylum,class
"Amphicorina pectinata (Banse, 1957)",Amphicorina pectinata,Annelida,Polychaeta
"Aracia Nogueira, Fitzhugh & Rossi, 2010",Aracia,Annelida,Polychaeta
"Bispira fabricii (Krøyer, 1856)",Bispira fabricii,Annelida,Polychaeta
"Bispira polyomma Giangrande & Faasse, 2012",Bispira polyomma,Annelida,Polychaeta
"Branchiomma bairdi (McIntosh, 1885)",Branchiomma bairdi,Annelida,Polychaeta
"Branchiomma boholense (Grube, 1878)",Branchiomma boholense,Annelida,Polychaeta
"Branchiomma bombyx (Dalyell, 1853)",Branchiomma bombyx,Annelida,Polychaeta
"Branchiomma cingulatum (Grube, 1870)",Branchiomma cingulatum,Annelida,Polychaeta
"Branchiomma coheni Tovar-Hernandez & Knight-Jones, 2006",Branchiomma coheni,Annelida,Polychaeta
"Branchiomma curtum (Ehlers, 1901)",Branchiomma curtum,Annelida,Polychaeta
"Branchiomma luctuosum (Grube, 1870)",Branchiomma luctuosum,Annelida,Polychaeta
"Branchiomma nigromaculatum (Baird, 1865)",Branchiomma nigromaculatum,Annelida,Polychaeta
"Desdemona ornata Banse, 1957",Desdemona ornata,Annelida,Polychaeta
"Euchone limnicola Reish, 1959",Euchone limnicola,Annelida,Polychaeta
"Fabriciola ghardaqa Banse, 1959",Fabriciola ghardaqa,Annelida,Polychaeta
"Ficopomatus enigmaticus (Fauvel, 1923)",Ficopomatus enigmaticus,Annelida,Polychaeta
"Ficopomatus miamiensis (Treadwell, 1934)",Ficopomatus miamiensis,Annelida,Polychaeta
"Ficopomatus uschakovi (Pillai, 1960)",Ficopomatus uschakovi,Annelida,Polychaeta
"Hydroides brachyacantha Rioja, 1941",Hydroides brachyacantha,Annelida,Polychaeta
"Hydroides crucigera Mörch, 1863",Hydroides crucigera,Annelida,Polychaeta
"Hydroides dianthus (Verrill, 1873)",Hydroides dianthus,Annelida,Polychaeta
"Hydroides dipoma (Schmarda, 1861)",Hydroides dipoma,Annelida,Polychaeta
"Hydroides dirampha Mörch, 1863",Hydroides dirampha,Annelida,Polychaeta
"Hydroides elegans (Haswell, 1883)",Hydroides elegans,Annelida,Polychaeta
"Hydroides ezoensis Okuda, 1934",Hydroides ezoensis,Annelida,Polychaeta
"Hydroides heterocera (Grube, 1868)",Hydroides heterocera,Annelida,Polychaeta
"Hydroides homoceros Pixell, 1913",Hydroides homoceros,Annelida,Polychaeta
"Hydroides minax (Grube, 1878)",Hydroides minax,Annelida,Polychaeta
"Hydroides norvegica Gunnerus, 1768",Hydroides norvegica,Annelida,Polychaeta
"Hydroides operculata (Treadwell, 1929)",Hydroides operculata,Annelida,Polychaeta
"Hydroides sanctaecrucis Krøyer, 1863",Hydroides sanctaecrucis,Annelida,Polychaeta
"Janua heterostropha (Montagu, 1803)",Janua heterostropha,Annelida,Polychaeta
"Laeospira berkeleyana (Rioja, 1942)",Laeospira berkeleyana,Annelida,Polychaeta
"Laonome calida Capa, 2007",Laonome calida,Annelida,Polychaeta
"Laonome elegans Gravier, 1906",Laonome elegans,Annelida,Polychaeta
"Laonome triangularis Hutchings & Murray, 1984",Laonome triangularis,Annelida,Polychaeta
"Manayunkia caspica Annenkova, 1928",Manayunkia caspica,Annelida,Polychaeta
"Manayunkia speciosa (Leidy, 1859)",Manayunkia speciosa,Annelida,Polychaeta
"Myxicola infundibulum (Montagu, 1808)",Myxicola infundibulum,Annelida,Polychaeta
"Neodexiospira brasiliensis (Grube, 1872)",Neodexiospira brasiliensis,Annelida,Polychaeta
"Neodexiospira pseudocorrugata (Bush, 1905)",Neodexiospira pseudocorrugata,Annelida,Polychaeta
"Neodexiospira steueri (Sterzinger, 1909)",Neodexiospira steueri,Annelida,Polychaeta
"Novafabricia infratorquata (Fitzhugh, 1973)",Novafabricia infratorquata,Annelida,Polychaeta
"Novafabricia posidoniae Licciano & Giangrande, 2006",Novafabricia posidoniae,Annelida,Polychaeta
"Paralaeospira malardi Caullery & Mesnil, 1897",Paralaeospira malardi,Annelida,Polychaeta
"Parasabella pallida Moore, 1923",Parasabella pallida,Annelida,Polychaeta
"Pileolaria berkeleyana (Rioja, 1942)",Pileolaria berkeleyana,Annelida,Polychaeta
"Pileolaria militaris Claparède, 1870",Pileolaria militaris,Annelida,Polychaeta
"Protula tubularia (Montagu, 1803)",Protula tubularia,Annelida,Polychaeta
"Pseudopotamilla reniformis (Bruguière, 1789)",Pseudopotamilla reniformis,Annelida,Polychaeta
"Sabella spallanzanii (Gmelin, 1791)",Sabella spallanzanii,Annelida,Polychaeta
"Sabellaria spinulosa (Leuckart, 1849)",Sabellaria spinulosa,Annelida,Polychaeta
"Sabellastarte sanctijosephi (Gravier, 1906)",Sabellastarte sanctijosephi,Annelida,Polychaeta
"Sabellastarte spectabilis (Grube, 1878)",Sabellastarte spectabilis,Annelida,Polychaeta
"Salmacina dysteri (Huxley, 1855)",Salmacina dysteri,Annelida,Polychaeta
"Salmacina tribranchiata (Moore, 1923)",Salmacina tribranchiata,Annelida,Polychaeta
